sub_cluster,portfolio_name,portfolio_description
0,안정형 글로벌 채권 Plus,선진·국내 투자등급 채권을 핵심으로 두고 하이일드·신흥국 채권을 소폭 편입해 채권 중심의 저변동 인컴을 추구합니다.
1,안정형 투자등급 채권 Prime,선진·국내 투자등급 채권만으로 구성해 극히 낮은 변동성과 예측 가능한 이자 흐름을 제공합니다.
2,안정형 투자등급 채권 Select,"투자등급 채권을 기초로, 하이일드와 미국주식을 일부 가미해 안정 기반에 추가 수익 여력을 더한 포트폴리오입니다."
3,중립형 글로벌 밸런스 Flex,"미국주식과 선진채권을 양축으로, 다양한 자산군을 고르게 배분해 성장과 안정의 균형을 지향합니다."
4,중립형 멀티에셋 Plus,"미국주식과 선진·국내 채권을 주축으로, 신흥채권·하이일드·대체투자를 결합해 전천후 수익원을 구축합니다."
5,중립형 채권·주식 Balance,선진채권과 미국주식을 쌍두마차로 삼고 국내·신흥채와 하이일드로 리스크-리턴 대칭을 완성합니다.
6,중립형 글로벌 밸런스 Flex,미국주식과 선진채권 비중을 비슷하게 가져가며 국내채·신흥채·대체투자를 더해 시장 변화에 유연하게 대응합니다.
7,안정형 멀티에셋 Steady,투자등급 채권을 두텁게 담고 미국주식을 일정 부분 편입해 저변동 인컴과 장기 안정성을 제공합니다.
8,중립형 하이브리드 Plus,"미국주식과 선진채권을 핵심으로, 국내·신흥채 및 하이일드를 더해 주식-채권 간 조화를 극대화합니다."
9,안정형 하이일드 인컴,투자등급 채권을 기반으로 하이일드·신흥국 채권을 곁들여 안정성과 인컴 잠재력을 동시에 노립니다.
10,초안정형 글로벌 채권,선진·국내 채권만으로 구성된 최저 변동성 캐시플로우 포트폴리오입니다.
11,안정형 채권·하이일드 Mix,투자등급 채권을 주축으로 하이일드·신흥채·미국주식을 일부 더해 이자 수익과 자본 이익을 병행합니다.
12,적극형 글로벌 주식 Core60,"미국주식 비중을 높게 가져가 성장력을 극대화하고, 신흥주식·채권·대체투자로 리스크 버퍼를 확보합니다."
13,중립형 성장 채권 Balance,미국주식과 투자등급 채권을 균형 있게 담아 완화된 변동성 속 꾸준한 성장을 목표로 합니다.
14,적극형 미국주식 50+,미국주식 중심으로 공격적인 수익을 노리면서 채권 비중으로 시장 조정 완충을 제공합니다.
15,공격형 글로벌 주식 Max,글로벌 주식 편입비를 크게 높여 공격적 성과를 추구하고 채권·대체투자로 급락 시 방어합니다.
16,공격형 미국주식 Ultra,"미국주식에 초집중해 높은 기대 수익을 노리며, 소수의 보완 자산으로 기본적인 분산을 유지합니다."
17,중립형 멀티에셋 Growth,"미국주식과 채권을 골격으로, 신흥주식·채권·일본주식 등을 편입해 완만한 성장 곡선을 도모합니다."
18,중립형 뉴트럴 Growth,미국주식과 채권을 비슷한 비중으로 구성해 중립적 성장-안정 포지션을 형성합니다.
19,적극형 미국주식 Edge,"미국주식 비중을 크게, 글로벌 채권·주식을 보완적으로 편입해 주식 알파를 극대화합니다."
20,적극형 성장 Plus,미국주식 중심의 공격적 성장 전략에 소규모 채권·대체투자로 기본 방패를 제공합니다.
21,중립형 멀티에셋 Pro,"선진채권·미국주식·국내채권을 3대 축으로, 신흥채·하이일드·대체투자를 더해 균형형 올라운더를 지향합니다."
22,안정형 멀티에셋 Steady,"선진·국내 채권을 두텁게, 미국주식을 일정 수준 담아 장기 스테디 인컴을 추구합니다."
23,적극형 글로벌 주식 Balance,미국주식 우위를 유지하되 채권·신흥주식·대체투자로 성장성과 위험 관리를 병행합니다.
24,안정형 인컴 채권 Mix,선진·국내 채권을 코어로 하이일드·신흥채를 추가해 안정적 인컴에 알파를 더한 조합입니다.
25,초안정형 채권 Prime,선진·국내 채권만으로 구성해 현금흐름 보존에 집중한 초저변동 전략입니다.
26,안정형 글로벌 채권 Hybrid,선진·국내 채권을 중심으로 하이일드·신흥채·미국주식을 소폭 포함해 안정성과 추가 수익을 병행합니다.
